Date,New Cases
43892,2
43893,2
43894,4
43895,1
43897,4
43898,1
43899,5
43900,3
43901,6
43902,7
43903,24
43904,45
43905,33
43906,31
43907,70
43908,107
43909,87
43910,150
43911,217
43912,306
43913,193
43914,299
43915,515
43916,560
43917,689
43918,727
43919,908
43920,896
43921,937
43922,1071
43923,1298
43924,1312
43925,1190
43926,783
43927,1209
43928,1047
43929,1074
43930,1060
43931,1120
43932,1090
43933,823
43934,969
43935,600
43936,917
43937,1210
43938,1090
43939,746
43940,716
43941,753
43942,894
43943,714
43944,1232
43945,756
43946,803
43947,523
43948,756
43949,354
43950,527
43951,997
43952,711
43953,641
43954,771
43955,587
43956,603
43957,642
43958,353
43959,794
43960,699
43961,389
43962,613
43963,814
43964,806
43965,802
43966,493
43967,1154
43968,667
43969,627
43970,489
43971,1202
43972,738
43973,744
43974,557
43975,998
43976,510
43977,484
43978,619
43979,1234
43980,764
43981,875
43982,715
43983,622
43984,1227
43985,1276
43986,1035
43987,1253
43988,1404
43989,1033
43990,1173
43991,1266
43992,1680
43993,1652
43994,2491
43995,2159
43996,1773
43997,2742
43998,2461
43999,2723
44000,3354
44001,4033
44002,4644
44003,2767
44004,3834
44005,5507
44006,5034
44007,8915
44008,9584
44009,8392
44010,5400
44011,6129
44012,6590
44013,9504
44014,9433
44015,11435
44016,9926
44017,6273
44018,7363
44019,10012
44020,8931
44021,11335
44022,10354
44023,15297
44024,12250
44025,9250
44026,10066
44027,13903
44028,11276
44029,10267
44030,12449
44031,10459
44032,9328
44033,9735
44034,10170
44035,12397
44036,12094
44037,9302
44038,8836
44039,9191
44040,9376
44041,9916
44042,8934
44043,9557
44044,7110
44045,4840
44046,5428
44047,5464
44048,7633
44049,7611
44050,8418
44051,6170
44052,4175
44053,5820
44054,8120
44055,6273
44056,6145
44057,6324
44058,3822
44059,2704
44060,3910
44061,4149
44062,4570
44063,4679
44064,4352
44065,3027
44066,2073
44067,2753
44068,3308
44069,3215
44070,3648
44071,3164
44072,2632
44073,1698
44074,7477
44075,2567
44076,3653
44077,3259
44078,3725
44079,2523
44080,1885
44081,1836
44082,2373
44083,2576
44084,3687
44085,3201
44086,2400
44087,1813
44088,3194
44089,2365
44090,3293
44091,3219
44092,3599
44093,2541
44094,1672
44095,2426
44096,2633
44097,2636
44098,2860
44099,2820
44100,1876
44101,819
44102,3243
44103,2104
44104,2852
44105,2711
44106,2818
44107,1904
44108,1392
44109,2324
44110,2558
44111,3316
44112,2928
44113,1827
44114,3716
44115,1588
44116,2738
44117,2901
44118,3362
44119,3461
44120,4045
44121,2525
44122,1765
44123,3671
44124,2200
44125,5541
44126,3760
44127,4476
44128,2388
44129,3382
44130,4329
44131,4129
44132,4247
44133,5638
44134,2556
44135,6589
44136,2710
44137,4638
44138,4449
44139,6250
44140,5261
44141,4441
44142,6825
44143,3930
44144,4359
44145,5846
44146,5610
44147,6917
44148,4561
44149,10156
44150,4653
44151,7473
44152,7926
44153,9150
44154,9063
44155,8423
44156,6683
44157,6258
44158,8480
44159,8381
44160,10447
44161,6823
44162,6334
44163,7394
44164,6680
44165,8905
44166,10092
44167,10863
44168,10228
44169,10436
44170,8445
44171,7715
44172,8024
44173,9629
44174,11556
44175,11697
44176,10669
44177,9074
