County,Date,average_percent_change_from_baseline,New Cases
Alachua County,43900,4.0,1
Alachua County,43903,4.5,1
Alachua County,43904,-1.5,1
Alachua County,43906,-3.3333333333333335,1
Alachua County,43907,-4.166666666666667,2
Alachua County,43908,-9.666666666666666,3
Alachua County,43909,-11.5,2
Alachua County,43910,-15.0,5
Alachua County,43911,-18.5,13
Alachua County,43912,-21.333333333333332,5
Alachua County,43913,-20.0,2
Alachua County,43914,-26.833333333333332,9
Alachua County,43915,-27.333333333333332,1
Alachua County,43916,-24.833333333333332,10
Alachua County,43917,-27.333333333333332,10
Alachua County,43918,-31.0,4
Alachua County,43919,-30.833333333333332,5
Alachua County,43920,-28.333333333333332,11
Alachua County,43921,-28.666666666666668,6
Alachua County,43922,-24.666666666666668,4
Alachua County,43923,-25.0,12
Alachua County,43924,-28.666666666666668,7
Alachua County,43925,-32.833333333333336,6
Alachua County,43926,-36.666666666666664,8
Alachua County,43927,-28.666666666666668,5
Alachua County,43928,-27.333333333333332,6
Alachua County,43929,-28.5,9
Alachua County,43930,-28.0,14
Alachua County,43931,-28.166666666666668,9
Alachua County,43932,-29.333333333333332,8
Alachua County,43933,-43.166666666666664,1
Alachua County,43934,-34.5,8
Alachua County,43935,-36.5,4
Alachua County,43936,-34.666666666666664,5
Alachua County,43937,-27.333333333333332,4
Alachua County,43938,-28.833333333333332,1
Alachua County,43939,-35.0,4
Alachua County,43940,-30.666666666666668,4
Alachua County,43941,-33.166666666666664,10
Alachua County,43942,-27.166666666666668,6
Alachua County,43943,-26.5,3
Alachua County,43944,-27.833333333333332,13
Alachua County,43945,-34.166666666666664,4
Alachua County,43946,-29.333333333333332,5
Alachua County,43947,-28.666666666666668,2
Alachua County,43948,-25.333333333333332,2
Alachua County,43949,-26.166666666666668,5
Alachua County,43950,-25.333333333333332,3
Alachua County,43951,-25.666666666666668,9
Alachua County,43952,-22.833333333333332,3
Alachua County,43953,-26.333333333333332,10
Alachua County,43954,-25.333333333333332,3
Alachua County,43955,-25.5,1
Alachua County,43956,-23.0,4
Alachua County,43957,-24.5,4
Alachua County,43958,-20.833333333333332,9
Alachua County,43960,-23.166666666666668,5
Alachua County,43961,-26.833333333333332,4
Alachua County,43962,-23.833333333333332,6
Alachua County,43963,-21.0,4
Alachua County,43964,-21.333333333333332,3
Alachua County,43966,-22.5,2
Alachua County,43967,-22.5,3
Alachua County,43968,-21.5,4
Alachua County,43969,-24.333333333333332,3
Alachua County,43970,-20.833333333333332,3
Alachua County,43971,-20.166666666666668,4
Alachua County,43972,-20.333333333333332,3
Alachua County,43973,-19.833333333333332,5
Alachua County,43974,-21.666666666666668,4
Alachua County,43975,-18.5,6
Alachua County,43976,-33.166666666666664,2
Alachua County,43977,-22.833333333333332,3
Alachua County,43978,-21.666666666666668,2
Alachua County,43979,-23.666666666666668,5
Alachua County,43980,-22.666666666666668,1
Alachua County,43981,-14.833333333333334,3
Alachua County,43982,-15.666666666666666,1
Alachua County,43983,-18.833333333333332,1
Alachua County,43984,-18.166666666666668,1
Alachua County,43985,-19.166666666666668,2
Alachua County,43986,-21.666666666666668,2
Alachua County,43987,-20.166666666666668,7
Alachua County,43988,-25.666666666666668,4
Alachua County,43989,-28.666666666666668,1
Alachua County,43990,-21.5,5
Alachua County,43991,-20.666666666666668,7
Alachua County,43992,-21.333333333333332,30
Alachua County,43993,-19.666666666666668,60
Alachua County,43994,-19.166666666666668,22
Alachua County,43995,-14.0,12
Alachua County,43996,-12.833333333333334,9
Alachua County,43997,-16.666666666666668,13
Alachua County,43998,-16.666666666666668,16
Alachua County,43999,-17.5,12
Alachua County,44000,-14.833333333333334,32
Alachua County,44001,-18.666666666666668,38
Alachua County,44002,-14.333333333333334,40
Alachua County,44003,-15.333333333333334,28
Alachua County,44004,-19.0,39
Alachua County,44005,-18.333333333333332,46
Alachua County,44006,-17.333333333333332,59
Alachua County,44007,-17.0,82
Alachua County,44008,-19.666666666666668,91
Alachua County,44009,-18.666666666666668,83
Alachua County,44010,-16.0,43
Alachua County,44011,-20.333333333333332,39
Alachua County,44012,-19.5,47
Alachua County,44013,-17.666666666666668,91
Alachua County,44014,-15.333333333333334,89
Alachua County,44015,-22.166666666666668,85
Alachua County,44016,-31.0,70
Alachua County,44017,-22.333333333333332,52
Alachua County,44018,-20.666666666666668,71
Alachua County,44019,-20.666666666666668,89
Alachua County,44020,-19.5,82
Alachua County,44021,-18.833333333333332,104
Alachua County,44022,-22.166666666666668,72
Alachua County,44023,-19.5,43
Alachua County,44024,-18.666666666666668,86
Alachua County,44025,-20.666666666666668,87
Alachua County,44026,-19.333333333333332,65
Alachua County,44027,-20.333333333333332,74
Alachua County,44028,-19.5,67
Alachua County,44029,-20.833333333333332,65
Alachua County,44030,-20.0,85
Alachua County,44031,-17.5,65
Alachua County,44032,-20.333333333333332,53
