Date,New Cases,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,average_percent_change_from_baseline
43892,2,43892.00,7,7,8,3,1,0,4.333333333
43893,2,43893.00,8,10,10,3,2,0,5.5
43894,4,43894.00,6,6,14,1,1,0,4.666666667
43895,1,43895.00,5,5,8,2,1,0,3.5
43897,4,43897.00,4,3,13,2,2,-1,3.833333333
43898,1,43898.00,4,3,-1,1,0,1,1.333333333
43899,5,43899.00,5,5,6,-1,0,0,2.5
43900,3,43900.00,5,6,11,1,0,0,3.833333333
43901,6,43901.00,6,7,20,-1,0,0,5.333333333
43902,7,43902.00,5,17,17,-2,-1,0,6
43903,24,43903.00,1,22,14,-8,-5,2,4.333333333
43904,45,43904.00,-6,16,8,-10,-1,2,1.5
43905,33,43905.00,-9,9,12,-13,-6,3,-0.666666667
43906,31,43906.00,-6,14,0,-16,-18,6,-3.333333333
43907,70,43907.00,-11,14,1,-18,-22,8,-4.666666667
43908,107,43908.00,-19,7,0,-26,-26,10,-9
43909,87,43909.00,-23,6,-7,-33,-29,12,-12.33333333
43910,150,43910.00,-29,6,-15,-38,-31,14,-15.5
43911,217,43911.00,-39,-3,-33,-42,-26,11,-22
43912,306,43912.00,-43,-12,-33,-49,-33,11,-26.5
43913,193,43913.00,-37,-12,-33,-46,-36,15,-24.83333333
43914,299,43914.00,-38,-12,-33,-46,-39,16,-25.33333333
43915,515,43915.00,-38,-13,-33,-48,-40,17,-25.83333333
43916,560,43916.00,-40,-14,-34,-51,-42,18,-27.16666667
43917,689,43917.00,-44,-17,-38,-55,-43,20,-29.5
43918,727,43918.00,-49,-23,-48,-59,-36,14,-33.5
43919,908,43919.00,-50,-26,-48,-63,-41,13,-35.83333333
43920,896,43920.00,-42,-22,-42,-55,-43,17,-31.16666667
43921,937,43921.00,-42,-20,-46,-52,-45,19,-31
43922,1071,43922.00,-37,-11,-41,-53,-45,18,-28.16666667
43923,1298,43923.00,-39,-11,-42,-55,-46,19,-29
43924,1312,43924.00,-47,-19,-49,-59,-48,22,-33.33333333
43925,1190,43925.00,-53,-25,-57,-64,-40,16,-37.16666667
43926,783,43926.00,-57,-33,-70,-70,-45,15,-43.33333333
43927,1209,43927.00,-47,-25,-50,-59,-48,19,-35
43928,1047,43928.00,-46,-23,-46,-56,-49,20,-33.33333333
43929,1074,43929.00,-46,-23,-45,-57,-49,20,-33.33333333
43930,1060,43930.00,-46,-21,-46,-58,-50,21,-33.33333333
43931,1120,43931.00,-47,-20,-48,-61,-53,23,-34.33333333
43932,1090,43932.00,-49,-20,-54,-65,-40,15,-35.5
43933,823,43933.00,-66,-49,-63,-69,-50,15,-47
43934,969,43934.00,-47,-24,-53,-59,-47,19,-35.16666667
43935,600,43935.00,-46,-23,-52,-56,-48,20,-34.16666667
43936,917,43936.00,-42,-21,-53,-56,-47,20,-33.16666667
43937,1210,43937.00,-44,-22,-56,-57,-48,21,-34.33333333
43938,1089,43938.00,-44,-21,-47,-58,-47,21,-32.66666667
43939,746,43939.00,-49,-25,-60,-62,-38,15,-36.5
43940,716,43940.00,-48,-23,-52,-64,-40,13,-35.66666667
43941,753,43941.00,-44,-25,-54,-58,-46,19,-34.66666667
43942,895,43942.00,-41,-20,-43,-53,-46,19,-30.66666667
43943,714,43943.00,-41,-20,-40,-54,-46,19,-30.33333333
43944,1232,43944.00,-43,-21,-47,-55,-47,20,-32.16666667
43945,756,43945.00,-47,-25,-60,-60,-47,23,-36
43946,803,43946.00,-45,-19,-52,-59,-36,13,-33
43947,523,43947.00,-47,-23,-52,-63,-40,12,-35.5
43948,756,43948.00,-38,-19,-39,-54,-44,17,-29.5
43949,354,43949.00,-38,-17,-39,-50,-45,13,-29.33333333
43950,527,43950.00,-38,-18,-36,-51,-45,18,-28.33333333
43951,997,43951.00,-40,-19,-47,-53,-46,19,-31
43952,711,43952.00,-36,-13,-27,-51,-43,18,-25.33333333
43953,641,43953.00,-40,-14,-31,-53,-32,11,-26.5
43954,771,43954.00,-40,-14,-30,-58,-35,10,-27.83333333
43955,586,43955.00,-32,-15,-30,-50,-41,15,-25.5
43956,603,43956.00,-31,-10,-29,-48,-41,16,-23.83333333
43957,641,43957.00,-33,-14,-26,-49,-41,16,-24.5
43958,353,43958.00,-33,-12,-23,-48,-41,16,-23.5
43959,794,43959.00,-33,-9,-20,-48,-40,17,-22.16666667
43960,699,43960.00,-33,-3,-26,-49,-28,9,-21.66666667
43961,389,43961.00,-35,-10,-51,-56,-31,9,-29
43962,613,43962.00,-31,-16,-28,-48,-39,14,-24.66666667
43963,814,43963.00,-30,-12,-24,-45,-39,15,-22.5
43964,806,43964.00,-29,-13,-21,-47,-39,15,-22.33333333
43965,802,43965.00,-31,-13,-29,-48,-39,13,-24.5
43966,493,43966.00,-33,-14,-34,-50,-39,17,-25.5
43967,1154,43967.00,-32,-12,-28,-50,-26,9,-23.16666667
43968,667,43968.00,-33,-15,-20,-53,-28,9,-23.33333333
43969,626,43969.00,-31,-18,-42,-50,-37,14,-27.33333333
43970,489,43970.00,-26,-10,-27,-46,-37,14,-22
43971,1202,43971.00,-25,-12,-20,-45,-37,14,-20.83333333
43972,738,43972.00,-26,-11,-22,-44,-37,14,-21
43973,744,43973.00,-26,-8,-16,-43,-36,14,-19.16666667
43974,557,43974.00,-28,-9,-17,-46,-22,7,-19.16666667
43975,998,43975.00,-30,-14,-26,-53,-27,8,-23.66666667
43976,509,43976.00,-34,-23,-40,-58,-68,22,-33.5
43977,484,43977.00,-27,-12,-34,-44,-35,14,-23
43978,619,43978.00,-24,-11,-20,-43,-35,13,-20
43979,1233,43979.00,-24,-11,-25,-43,-34,13,-20.66666667
43980,764,43980.00,-24,-9,-20,-43,-33,14,-19.16666667
43981,875,43981.00,-26,-10,-16,-43,-15,7,-17.16666667
43982,715,43982.00,-26,-12,-13,-47,-19,7,-18.33333333
43983,622,43983.00,-21,-9,-24,-42,-33,11,-19.66666667
43984,1227,43984.00,-22,-8,-25,-41,-33,12,-19.5
43985,1276,43985.00,-22,-11,-30,-43,-34,13,-21.16666667
43986,1035,43986.00,-24,-12,-38,-43,-34,14,-22.83333333
43987,1253,43987.00,-23,-10,-27,-43,-33,13,-20.5
43988,1404,43988.00,-28,-14,-48,-48,-18,8,-24.66666667
43989,1033,43989.00,-27,-14,-40,-49,-21,8,-23.83333333
43990,1173,43990.00,-22,-12,-25,-42,-32,11,-20.33333333
43991,1266,43991.00,-20,-10,-20,-41,-32,12,-18.5
43992,1680,43992.00,-20,-11,-15,-41,-33,11,-18.16666667
43993,1652,43993.00,-20,-10,-14,-39,-33,11,-17.5
43994,2491,43994.00,-20,-8,-3,-39,-32,11,-15.16666667
43995,2159,43995.00,-23,-9,-9,-40,-14,5,-15
43996,1773,43996.00,-22,-11,-10,-42,-17,5,-16.16666667
43997,2744,43997.00,-19,-10,-13,-39,-32,10,-17.16666667
43998,2462,43998.00,-18,-7,-4,-38,-32,11,-14.66666667
43999,2723,43999.00,-19,-9,-5,-39,-33,11,-15.66666667
44000,3354,44000.00,-20,-10,-15,-38,-33,11,-17.5
44001,4033,44001.00,-21,-7,-13,-39,-34,10,-17.33333333
44002,4644,44002.00,-21,-3,-6,-39,-15,5,-13.16666667
44003,2767,44003.00,-21,-7,-8,-41,-17,4,-15
44004,3834,44004.00,-21,-12,-13,-38,-35,10,-18.16666667
44005,5506,44005.00,-20,-9,-11,-38,-35,11,-17
44006,5034,44006.00,-20,-10,-8,-38,-34,11,-16.5
44007,8915,44007.00,-21,-9,-10,-37,-34,11,-16.66666667
44008,9582,44008.00,-24,-9,-10,-39,-34,12,-17.33333333
44009,8391,44009.00,-26,-10,-13,-40,-17,6,-16.66666667
44010,5399,44010.00,-26,-12,-15,-42,-17,6,-17.66666667
44011,6128,44011.00,-21,-11,-17,-39,-35,11,-18.66666667
44012,6591,44012.00,-20,-9,-16,-39,-35,11,-18
44013,9502,44013.00,-19,-9,-16,-37,-35,11,-17.5
44014,9433,44014.00,-16,-4,-10,-34,-37,11,-15
44015,11435,44015.00,-19,0,-6,-42,-53,16,-17.33333333
44016,9926,44016.00,-38,-15,-25,-52,-30,8,-25.33333333
